Fold,AUC,Accuracy,ECE,MCE,Brier Score,Time (min)
1,0.861,0.843,0.0163,0.0899,0.0806,25.79
2,0.861,0.844,0.0229,0.0435,0.0807,20.23
3,0.864,0.839,0.0056,0.0594,0.082,19.96
4,0.858,0.837,0.0071,0.0833,0.0832,12.83
5,0.857,0.82,0.0158,0.0409,0.0924,12.53
