Fold,AUC,Accuracy,ECE,MCE,Brier Score,Time (min)
1,0.766,0.814,0.0251,0.0583,0.098,38.17
2,0.767,0.816,0.0262,0.0361,0.0982,13.94
3,0.768,0.811,0.0407,0.0481,0.1001,13.56
4,0.77,0.804,0.0365,0.0458,0.1031,13.3
5,0.761,0.811,0.0342,0.044,0.099,15.71
